ORDERNUMBER,PRICEEACH,SALES,STATUS,MONTH_ID,PRODUCTCODE,CUSTOMERID,ADDRESSID
10194,100,7290.36,1,5905,S10_1949,82855,85677
10206,100,9064.89,1,5906,S10_1949,82856,85678
10215,100,6075.3,1,5907,S10_1949,82857,OTHERS
10228,100,6463.23,1,5911,S10_1949,82858,OTHERS
10245,100,6120.34,1,5901,S10_1949,82859,85679
10258,100,7680.64,1,5909,S10_1949,82860,85680
10270,100,4905.39,1,5902,S10_1949,82845,85668
10280,100,8014.82,1,5903,S10_1949,82861,85681
10291,100,7136.19,1,5910,S10_1949,82862,85682
10304,100,10172.7,1,5904,S10_1949,82863,85683
10312,100,11623.7,1,5904,S10_1949,82864,OTHERS
10322,100,6000.4,1,5905,S10_1949,82865,85684
10333,100,3003,1,5905,S10_1949,82833,OTHERS
10347,100,3944.7,1,5905,S10_1949,82835,85659
10357,100,5691.84,1,5906,S10_1949,82864,OTHERS
10369,100,4514.92,1,5907,S10_1949,82866,85685
10381,100,8254.8,1,5900,S10_1949,82829,85654
10391,100,2416.56,1,5911,S10_1949,82867,85686
10411,100,4140.23,1,5901,S10_1949,82868,85687
10424,100,12001,3,5901,S10_1949,82848,85671
10107,99.91,3896.49,1,5900,S10_2016,82825,85650
10120,96.34,2793.86,1,5908,S10_2016,82835,85659
10134,100,3307.77,1,5902,S10_2016,82827,85652
10145,100,5192.95,1,5903,S10_2016,82828,85653
10159,100,5016.83,1,5904,S10_2016,82829,85654
10168,100,3660.93,1,5904,S10_2016,82830,85655
10180,100,4695.6,1,5905,S10_2016,82831,85656
10188,96.34,3660.92,1,5905,S10_2016,82832,85657
10201,100,3025.92,1,5906,S10_2016,82833,OTHERS
10210,100,3009.09,1,5907,S10_2016,82869,85688
10223,100,5422.39,1,5900,S10_2016,82835,85659
10236,100,2852.08,1,5908,S10_2016,82870,OTHERS
10251,100,5756.52,1,5901,S10_2016,82837,85660
10263,100,4472,1,5909,S10_2016,82838,85661
10275,100,2904.44,1,5902,S10_2016,82839,85662
10285,100,6484.59,1,5903,S10_2016,82840,85663
10298,96.34,3757.26,1,5910,S10_2016,82871,OTHERS
10308,100,4043.96,1,5904,S10_2016,82872,85689
10318,100,5566.5,1,5905,S10_2016,82843,85666
10329,100,3176,1,5905,S10_2016,82825,85650
10339,68.92,2756.8,1,5905,S10_2016,82860,85680
10361,51.15,1329.9,1,5906,S10_2016,82845,85668
10374,100,5288.01,1,5900,S10_2016,82853,85675
10388,44.51,2225.5,1,5911,S10_2016,82846,85669
10402,100,5833.8,1,5908,S10_2016,82834,85658
10417,100,5887.35,2,5901,S10_2016,82848,85671
10107,100,6065.55,1,5900,S10_4698,82825,85650
10120,100,9264.86,1,5908,S10_4698,82835,85659
10134,100,7023.98,1,5902,S10_4698,82827,85652
10145,100,5176.38,1,5903,S10_4698,82828,85653
10159,100,4132.7,1,5904,S10_4698,82829,85654
10168,100,4183,1,5904,S10_4698,82830,85655
10180,100,8892.9,1,5905,S10_4698,82831,85656
10188,100,8714.7,1,5905,S10_4698,82832,85657
10201,100,8065.89,1,5906,S10_4698,82833,OTHERS
10210,100,6123.4,1,5907,S10_4698,82869,85688
10223,100,9774.03,1,5900,S10_4698,82835,85659
10237,100,7023.9,1,5908,S10_4698,82836,OTHERS
10251,100,7078.23,1,5901,S10_4698,82837,85660
10263,100,8336.94,1,5909,S10_4698,82838,85661
10275,100,6901.92,1,5902,S10_4698,82839,85662
10285,100,5438.07,1,5903,S10_4698,82840,85663
10299,100,6683.34,1,5910,S10_4698,82841,85664
10308,100,4570.4,1,5904,S10_4698,82872,85689
10318,100,7667.14,1,5905,S10_4698,82843,85666
10329,100,5868.2,1,5905,S10_4698,82825,85650
10339,76.67,2990.13,1,5905,S10_4698,82860,85680
10362,100,3664.1,1,5907,S10_4698,82830,85655
10374,100,3834.38,1,5900,S10_4698,82853,85675
10388,86.77,1822.17,1,5911,S10_4698,82846,85669
10403,100,11886.6,1,5908,S10_4698,82847,85670
10417,100,9218.16,2,5901,S10_4698,82848,85671
10105,100,7208,1,5900,S10_4757,82873,85690
10119,100,5004.8,1,5908,S10_4757,82844,85667
10129,100,4398.24,1,5909,S10_4757,82874,85691
10143,100,5597.76,1,5903,S10_4757,82875,OTHERS
10155,100,4526.08,1,5904,S10_4757,82841,85664
10167,100,5924.16,4,5904,S10_4757,82862,85682
10178,100,3492.48,1,5905,S10_4757,82876,85692
10186,100,3854.24,1,5905,S10_4757,82877,85693
10197,100,5324.4,1,5905,S10_4757,82878,OTHERS
10209,100,5197.92,1,5907,S10_4757,82879,OTHERS
10222,100,5997.6,1,5900,S10_4757,82880,85695
10248,100,2910.4,4,5901,S10_4757,82825,85650
10261,100,3378.24,1,5909,S10_4757,82868,85687
10273,100,3508.8,1,5902,S10_4757,82881,85696
10283,100,2992,1,5903,S10_4757,82882,85697
10295,100,3427.2,1,5910,S10_4757,82883,85698
10307,100,2692.8,1,5904,S10_4757,82854,85676
10316,100,4128.96,1,5905,S10_4757,82884,85699
10325,64.93,3051.71,1,5905,S10_4757,82842,85665
10337,48.05,1201.25,1,5905,S10_4757,82852,OTHERS
10350,75.47,1962.22,1,5906,S10_4757,82848,85671
10359,54.68,2624.64,1,5906,S10_4757,82826,85651
10373,100,4046.25,1,5907,S10_4757,82885,85700
10384,100,4846.7,1,5900,S10_4757,82829,85654
10395,100,3370.56,1,5911,S10_4757,82827,85652
10400,100,9661.44,1,5908,S10_4757,82886,OTHERS
10414,100,2764.88,5,5901,S10_4757,82883,85698
10103,100,5398.26,1,5907,S10_4962,82842,85665
10114,100,4305.28,1,5908,S10_4962,82887,85701
10126,100,3347.74,1,5901,S10_4962,82850,85673
10140,100,3188.12,1,5902,S10_4962,82830,85655
10150,100,3191.2,1,5910,S10_4962,82851,85674
10164,100,3536.82,6,5904,S10_4962,82888,85702
10175,100,5362.83,1,5905,S10_4962,82874,85691
10183,100,3433.36,1,5905,S10_4962,82854,85676
10194,100,4263.74,1,5905,S10_4962,82855,85677
10207,100,4076.19,1,5906,S10_4962,82889,OTHERS
10217,100,7020.48,1,5900,S10_4962,82890,85703
10229,100,6426.5,1,5911,S10_4962,82864,OTHERS
10245,100,4591.72,1,5901,S10_4962,82859,85679
10259,100,4033.38,1,5909,S10_4962,82890,85703
10270,100,4302.08,1,5902,S10_4962,82845,85668
10281,100,7020.64,1,5903,S10_4962,82843,85666
10291,100,3855.9,1,5910,S10_4962,82862,85682
10305,100,6680.78,1,5904,S10_4962,82840,85663
10313,100,6678,1,5904,S10_4962,82856,85678
10322,61.99,2851.54,1,5905,S10_4962,82865,85684
10334,100,3188.12,5,5905,S10_4962,82849,OTHERS
10347,100,4428,1,5905,S10_4962,82835,85659
10357,100,5780.92,1,5906,S10_4962,82864,OTHERS
10370,65.63,2297.05,1,5907,S10_4962,82867,85686
10381,100,6231.54,1,5900,S10_4962,82829,85654
10391,46.9,1735.3,1,5911,S10_4962,82867,85686
10411,100,4427.73,1,5901,S10_4962,82868,85687
10425,100,5894.94,3,5901,S10_4962,82839,85662
10108,100,5265.15,1,5911,S12_1099,82891,85704
10122,100,7599.9,1,5901,S12_1099,82892,85705
10135,100,8008.56,1,5902,S12_1099,82864,OTHERS
10147,100,9245.76,1,5910,S12_1099,82866,85685
10159,100,8296.35,1,5904,S12_1099,82829,85654
10169,100,5019.9,1,5905,S12_1099,82867,85686
10181,100,5411.07,1,5905,S12_1099,82832,85657
10191,100,3840.9,1,5905,S12_1099,82893,85706
10203,100,3930.4,1,5906,S12_1099,82848,85671
10211,100,7498.9,1,5907,S12_1099,82834,85658
10225,100,4517.91,1,5900,S12_1099,82894,85707
10238,100,5774.72,1,5908,S12_1099,82873,85690
10253,100,3922.56,4,5909,S12_1099,82847,85670
10266,100,9160.36,1,5902,S12_1099,82895,85708
10276,100,9631,1,5903,S12_1099,82896,OTHERS
10287,100,3432.24,1,5903,S12_1099,82894,85707
10300,100,5521.89,1,5904,S12_1099,82897,85709
10310,100,6934.62,1,5904,S12_1099,82893,85706
10320,100,6876.11,1,5905,S12_1099,82849,OTHERS
10329,71.47,2930.27,1,5905,S12_1099,82825,85650
10341,79.65,3584.25,1,5905,S12_1099,82844,85667
10363,85.39,2817.87,1,5907,S12_1099,82898,85710
10375,76,3420,1,5900,S12_1099,82839,85662
10389,99.04,2575.04,1,5911,S12_1099,82862,85682
10419,100,1961.28,1,5901,S12_1099,82844,85667
10105,100,8690.36,1,5900,S12_1108,82873,85690
10117,100,6034.38,1,5908,S12_1108,82851,85674
10127,100,11279.2,1,5909,S12_1108,82899,OTHERS
10142,100,8023.29,1,5903,S12_1108,82864,OTHERS
10153,100,4904,1,5910,S12_1108,82848,85671
10165,100,8594.52,1,5904,S12_1108,82851,85674
10176,100,7474.5,1,5905,S12_1108,82895,85708
10185,100,3883.74,1,5905,S12_1108,82875,OTHERS
10196,100,8887.7,1,5905,S12_1108,82859,85679
10208,100,8602.92,1,5907,S12_1108,82855,85677
10220,100,7181.44,1,5900,S12_1108,82900,85711
10231,100,8378.58,1,5911,S12_1108,82901,OTHERS
10247,100,10606.2,1,5901,S12_1108,82898,85710
10272,100,5818.4,1,5902,S12_1108,82843,85666
10282,100,7071.27,1,5903,S12_1108,82864,OTHERS
10293,100,8411.56,1,5910,S12_1108,82861,85681
10306,100,6570.76,1,5904,S12_1108,82902,85712
10314,100,7975.44,1,5904,S12_1108,82903,85713
10325,64,2688,1,5905,S12_1108,82842,85665
10336,57.22,1888.26,1,5905,S12_1108,82887,85701
10348,52.36,2513.28,1,5905,S12_1108,82850,85673
10359,100,4764.48,1,5906,S12_1108,82826,85651
10371,100,3560.64,1,5907,S12_1108,82864,OTHERS
10382,100,3823.64,1,5900,S12_1108,82864,OTHERS
10395,69.12,2280.96,1,5911,S12_1108,82827,85652
10413,100,8677.8,1,5901,S12_1108,82838,85661
10103,100,3394.98,1,5907,S12_1666,82842,85665
10113,100,3415.44,1,5911,S12_1666,82864,OTHERS
10126,100,2439.57,1,5901,S12_1666,82850,85673
10140,100,4829.8,1,5902,S12_1666,82830,85655
10150,100,4100.1,1,5910,S12_1666,82851,85674
10164,100,6563.06,6,5904,S12_1666,82888,85702
10174,100,6817.22,1,5905,S12_1666,82853,85675
10183,100,6163.94,1,5905,S12_1666,82854,85676
10194,100,4933.92,1,5905,S12_1666,82855,85677
10206,100,4056.36,1,5906,S12_1666,82856,85678
10216,100,5759.42,1,5900,S12_1666,82863,85683
10229,100,3451,1,5911,S12_1666,82864,OTHERS
10245,100,5920.4,1,5901,S12_1666,82859,85679
10258,100,6668.24,1,5909,S12_1666,82860,85680
10270,100,4094.72,1,5902,S12_1666,82845,85668
10281,100,2938.5,1,5903,S12_1666,82843,85666
10291,100,6387.8,1,5910,S12_1666,82862,85682
10304,100,6396,1,5904,S12_1666,82863,85683
10313,100,2669.1,1,5904,S12_1666,82856,85678
10322,100,4784.13,1,5905,S12_1666,82865,85684
10333,99.21,3273.93,1,5905,S12_1666,82833,OTHERS
10347,100,3586.43,1,5905,S12_1666,82835,85659
10357,100,5960.36,1,5906,S12_1666,82864,OTHERS
10370,100,8470.14,1,5907,S12_1666,82867,85686
10381,100,2952,1,5900,S12_1666,82829,85654
10391,63.2,2464.8,1,5911,S12_1666,82867,85686
10411,100,6232,1,5901,S12_1666,82868,85687
10424,100,7969.36,3,5901,S12_1666,82848,85671
10107,100,3036.6,1,5900,S12_2823,82825,85650
10121,100,8284,1,5901,S12_2823,82826,85651
10134,100,2711.2,1,5902,S12_2823,82827,85652
10145,100,8339.8,1,5903,S12_2823,82828,85653
10159,100,6238.84,1,5904,S12_2823,82829,85654
10169,100,4639.25,1,5905,S12_2823,82867,85686
10180,100,6747.6,1,5905,S12_2823,82831,85656
10189,100,4512.48,1,5905,S12_2823,82828,85653
10201,100,4029,1,5906,S12_2823,82833,OTHERS
10211,100,4771.8,1,5907,S12_2823,82834,85658
10224,100,6087.94,1,5900,S12_2823,82831,85656
10237,100,4193.28,1,5908,S12_2823,82836,OTHERS
10251,100,7552.28,1,5901,S12_2823,82837,85660
10263,100,6434.4,1,5909,S12_2823,82838,85661
10276,100,5181.5,1,5903,S12_2823,82896,OTHERS
10285,100,6863.92,1,5903,S12_2823,82840,85663
10299,100,4157.04,1,5910,S12_2823,82841,85664
10309,100,4660.24,1,5904,S12_2823,82842,85665
10319,100,4111.8,1,5905,S12_2823,82904,OTHERS
10329,100,3542.64,1,5905,S12_2823,82825,85650
10341,100,8118.55,1,5905,S12_2823,82844,85667
10362,100,3877.06,1,5907,S12_2823,82830,85655
10375,78.92,3867.08,1,5900,S12_2823,82839,85662
10388,100,5951.44,1,5911,S12_2823,82846,85669
10403,100,8648.64,1,5908,S12_2823,82847,85670
10417,100,3447.78,2,5901,S12_2823,82848,85671
10104,100,5958.5,1,5907,S12_3148,82848,85671
10117,100,5911.64,1,5908,S12_3148,82851,85674
10127,100,7366.44,1,5909,S12_3148,82899,OTHERS
10142,100,4985.64,1,5903,S12_3148,82864,OTHERS
10153,100,5393.64,1,5910,S12_3148,82848,85671
10165,100,4880.02,1,5904,S12_3148,82851,85674
10176,100,8378.69,1,5905,S12_3148,82895,85708
10185,100,4038.21,1,5905,S12_3148,82875,OTHERS
10196,100,3807.12,1,5905,S12_3148,82859,85679
10208,100,3142.36,1,5907,S12_3148,82855,85677
10220,100,4713.6,1,5900,S12_3148,82900,85711
10230,100,7016.31,1,5911,S12_3148,82897,85709
10247,100,4381.25,1,5901,S12_3148,82898,85710
10272,100,4283.01,1,5902,S12_3148,82843,85666
10282,100,4364.82,1,5903,S12_3148,82864,OTHERS
10293,100,4242.24,1,5910,S12_3148,82861,85681
10306,100,4982.7,1,5904,S12_3148,82902,85712
10314,100,6393.54,1,5904,S12_3148,82903,85713
10324,54.33,1466.91,1,5905,S12_3148,82836,OTHERS
10336,100,4059.33,1,5905,S12_3148,82887,85701
10348,100,4801.52,1,5905,S12_3148,82850,85673
10358,55.34,2711.66,1,5906,S12_3148,82848,85671
10372,100,5862,1,5907,S12_3148,82860,85680
10382,100,4071.85,1,5900,S12_3148,82864,OTHERS
10413,100,8236.75,1,5901,S12_3148,82838,85661
10108,100,6130.35,1,5911,S12_3380,82891,85704
10122,99.82,3693.34,1,5901,S12_3380,82892,85705
10135,100,6031.68,1,5902,S12_3380,82864,OTHERS
10147,100,3494.94,1,5910,S12_3380,82866,85685
10160,100,5294.14,1,5904,S12_3380,82879,OTHERS
10170,100,5464.69,1,5905,S12_3380,82888,85702
10181,100,2860.76,1,5905,S12_3380,82832,85657
10191,100,5590,1,5905,S12_3380,82893,85706
10203,100,2254.8,1,5906,S12_3380,82848,85671
10212,100,4946.76,1,5907,S12_3380,82848,85671
10225,99.82,2495.5,1,5900,S12_3380,82894,85707
10238,100,3167.38,1,5908,S12_3380,82873,85690
10253,100,2402.84,4,5909,S12_3380,82847,85670
10266,100,2454.54,1,5902,S12_3380,82895,85708
10276,100,5464.69,1,5903,S12_3380,82896,OTHERS
10287,100,4756.5,1,5903,S12_3380,82894,85707
10300,100,3984.6,1,5904,S12_3380,82897,85709
10310,100,3100.32,1,5904,S12_3380,82893,85706
10320,100,4850.3,1,5905,S12_3380,82849,OTHERS
10329,83.63,3846.98,1,5905,S12_3380,82825,85650
10341,95.93,4220.92,1,5905,S12_3380,82844,85667
10363,96.73,3288.82,1,5907,S12_3380,82898,85710
10376,100,3987.2,1,5900,S12_3380,82905,85714
10389,72.38,1809.5,1,5911,S12_3380,82862,85682
10419,100,1092.2,1,5901,S12_3380,82844,85667
10105,100,4566.05,1,5900,S12_3891,82873,85690
10117,100,5938.14,1,5908,S12_3891,82851,85674
10127,100,8138.76,1,5909,S12_3891,82899,OTHERS
10142,100,9470.94,1,5903,S12_3891,82864,OTHERS
10153,100,7036.89,1,5910,S12_3891,82848,85671
10165,100,5559.03,1,5904,S12_3891,82851,85674
10176,100,7872.5,1,5905,S12_3891,82895,85708
10185,100,7886.2,1,5905,S12_3891,82875,OTHERS
10196,100,7232.16,1,5905,S12_3891,82859,85679
10208,100,3114.4,1,5907,S12_3891,82855,85677
10220,100,5045.22,1,5900,S12_3891,82900,85711
10231,100,6952.12,1,5911,S12_3891,82901,OTHERS
10247,100,4157.73,1,5901,S12_3891,82898,85710
10272,100,7962.24,1,5902,S12_3891,82843,85666
10282,100,3778.8,1,5903,S12_3891,82864,OTHERS
10293,100,8253,1,5910,S12_3891,82861,85681
10306,100,3633.4,1,5904,S12_3891,82902,85712
10314,100,6913.8,1,5904,S12_3891,82903,85713
10325,100,2583.6,1,5905,S12_3891,82842,85665
10336,63.38,3105.62,1,5905,S12_3891,82887,85701
10349,100,4408.56,1,5906,S12_3891,82899,OTHERS
10359,62.09,3042.41,1,5906,S12_3891,82826,85651
10372,100,5941.5,1,5907,S12_3891,82860,85680
10382,95.35,3241.9,1,5900,S12_3891,82864,OTHERS
10396,100,6109.29,1,5911,S12_3891,82864,OTHERS
10413,100,3387.78,1,5901,S12_3891,82838,85661
10108,89.38,3485.82,1,5911,S12_3990,82891,85704
10122,63.84,2042.88,1,5901,S12_3990,82892,85705
10135,75.01,1800.24,1,5902,S12_3990,82864,OTHERS
10147,63.84,1340.64,1,5910,S12_3990,82866,85685
10159,73.42,1762.08,1,5904,S12_3990,82829,85654
10169,63.84,2298.24,1,5905,S12_3990,82867,85686
10181,81.4,1628,1,5905,S12_3990,82832,85657
10191,64.64,1939.2,1,5905,S12_3990,82893,85706
10203,82.99,3651.56,1,5906,S12_3990,82848,85671
10211,92.57,2591.96,1,5907,S12_3990,82834,85658
10225,77.41,2864.17,1,5900,S12_3990,82894,85707
10238,74.21,1484.2,1,5908,S12_3990,82873,85690
10253,90.17,2254.25,4,5909,S12_3990,82847,85670
10266,76.61,2681.35,1,5902,S12_3990,82895,85708
10276,83.79,3184.02,1,5903,S12_3990,82896,OTHERS
10287,69.43,2846.63,1,5903,S12_3990,82894,85707
10300,76.61,1685.42,1,5904,S12_3990,82897,85709
10310,81.4,3988.6,1,5904,S12_3990,82893,85706
10320,73.42,2789.96,1,5905,S12_3990,82849,OTHERS
10329,100,3607.56,1,5905,S12_3990,82825,85650
10341,93.56,3368.16,1,5905,S12_3990,82844,85667
10363,81.62,2775.08,1,5907,S12_3990,82898,85710
10377,67.83,1627.92,1,5900,S12_3990,82841,85664
10389,70.26,2529.36,1,5911,S12_3990,82862,85682
10419,90.17,3065.78,1,5901,S12_3990,82844,85667
10104,100,4615.78,1,5907,S12_4473,82848,85671
10115,100,5723.78,1,5908,S12_4473,82852,OTHERS
10127,100,2559.6,1,5909,S12_4473,82899,OTHERS
10141,100,2140.11,1,5903,S12_4473,82898,85710
10151,100,3327.6,1,5910,S12_4473,82885,85700
10165,100,6825.6,1,5904,S12_4473,82851,85674
10175,100,3543.28,1,5905,S12_4473,82874,85691
10184,100,4516.22,1,5905,S12_4473,82906,85715
10195,100,6445.46,1,5905,S12_4473,82872,85689
10207,99.54,3384.36,1,5906,S12_4473,82889,OTHERS
10219,100,4891.68,1,5900,S12_4473,82907,OTHERS
10229,100,4521.96,1,5911,S12_4473,82864,OTHERS
10246,100,5069.66,1,5901,S12_4473,82848,85671
10259,100,6541.2,1,5909,S12_4473,82890,85703
10271,97.17,3012.27,1,5902,S12_4473,82864,OTHERS
10281,100,5247.18,1,5903,S12_4473,82843,85666
10292,100,2214.87,1,5910,S12_4473,82825,85650
10305,100,4773.18,1,5904,S12_4473,82840,85663
10314,100,6185.7,1,5904,S12_4473,82903,85713
10324,58.38,1517.88,1,5905,S12_4473,82836,OTHERS
10336,100,6372.6,1,5905,S12_4473,82887,85701
10349,100,5232.96,1,5906,S12_4473,82899,OTHERS
10358,64.16,2694.72,1,5906,S12_4473,82848,85671
10371,35.71,1749.79,1,5907,S12_4473,82864,OTHERS
10382,66.58,2130.56,1,5900,S12_4473,82864,OTHERS
10412,100,5951.34,1,5901,S12_4473,82848,85671
10425,100,4692.6,3,5901,S12_4473,82839,85662
10108,100,3731.04,1,5911,S12_4675,82891,85704
10122,100,2142,1,5901,S12_4675,82892,85705
10135,97.89,2838.81,1,5902,S12_4675,82864,OTHERS
10147,97.89,3230.37,1,5910,S12_4675,82866,85685
10160,100,5182,1,5904,S12_4675,82879,OTHERS
10170,100,4391.1,1,5905,S12_4675,82888,85702
10181,100,4477.32,1,5905,S12_4675,82832,85657
10192,100,3544.56,1,5905,S12_4675,82865,85684
10203,100,5195.85,1,5906,S12_4675,82848,85671
10212,100,4180.44,1,5907,S12_4675,82848,85671
10225,100,2684.43,1,5900,S12_4675,82894,85707
10239,93.28,1958.88,1,5908,S12_4675,82885,85700
10253,100,4910.57,4,5909,S12_4675,82847,85670
10266,100,4468.4,1,5902,S12_4675,82895,85708
10277,100,3127.88,1,5903,S12_4675,82851,85674
10287,100,2675.13,1,5903,S12_4675,82894,85707
10300,100,2807.61,1,5904,S12_4675,82897,85709
10310,100,2504.75,1,5904,S12_4675,82893,85706
10321,100,2984.88,1,5905,S12_4675,82846,85669
10329,64.74,2524.86,1,5905,S12_4675,82825,85650
10341,75.2,4136,1,5905,S12_4675,82844,85667
10363,88.45,4068.7,1,5907,S12_4675,82898,85710
10377,100,5182,1,5900,S12_4675,82841,85664
10389,100,5243.79,1,5911,S12_4675,82862,85682
10405,93.28,9048.16,1,5908,S12_4675,82908,85716
10419,100,3832.64,1,5901,S12_4675,82844,85667
10103,100,3920,1,5907,S18_1097,82842,85665
10113,100,4916.66,1,5911,S18_1097,82864,OTHERS
10126,100,3857,1,5901,S18_1097,82850,85673
10140,100,4181.44,1,5902,S18_1097,82830,85655
10150,100,4641,1,5910,S18_1097,82851,85674
10164,99.17,3570.12,6,5904,S18_1097,82888,85702
10174,93.34,4480.32,1,5905,S18_1097,82853,85675
10183,96.84,2033.64,1,5905,S18_1097,82854,85676
10194,93.34,1960.14,1,5905,S18_1097,82855,85677
10206,100,3966.78,1,5906,S18_1097,82856,85678
10215,100,5152,1,5907,S18_1097,82857,OTHERS
10228,100,3360,1,5911,S18_1097,82858,OTHERS
10245,100,3451,1,5901,S18_1097,82859,85679
10258,100,5453,1,5909,S18_1097,82860,85680
10270,96.84,4164.12,1,5902,S18_1097,82845,85668
10280,100,2800.08,1,5903,S18_1097,82861,85681
10291,100,4687.94,1,5910,S18_1097,82862,85682
10304,98,4508,1,5904,S18_1097,82863,85683
10312,100,4181.44,1,5904,S18_1097,82864,OTHERS
10322,100,2251.04,1,5905,S18_1097,82865,85684
10333,40.25,1167.25,1,5905,S18_1097,82833,OTHERS
10347,49.6,2083.2,1,5905,S18_1097,82835,85659
10357,98,3822,1,5906,S18_1097,82864,OTHERS
10370,100,3911.49,1,5907,S18_1097,82867,85686
10381,98,4704,1,5900,S18_1097,82829,85654
10391,85.1,2467.9,1,5911,S18_1097,82867,85686
10411,100,3213,1,5901,S18_1097,82868,85687
10424,100,7182,3,5901,S18_1097,82848,85671
10109,100,4379.18,1,5911,S18_1129,82870,OTHERS
10122,100,5004.8,1,5901,S18_1129,82892,85705
10136,100,3644.75,1,5902,S18_1129,82876,85692
10148,100,2702.04,1,5910,S18_1129,82867,85686
10161,100,3764.88,1,5904,S18_1129,82903,85713
10171,100,4508,1,5905,S18_1129,82868,85687
10181,100,5418.16,1,5905,S18_1129,82832,85657
10192,100,3300.66,1,5905,S18_1129,82865,85684
10204,100,6182.4,1,5906,S18_1129,82899,OTHERS
10212,100,4186.73,1,5907,S18_1129,82848,85671
10225,100,4529.28,1,5900,S18_1129,82894,85707
10240,100,5628.89,1,5908,S18_1129,82869,85688
10253,100,3054.48,4,5909,S18_1129,82847,85670
10266,100,2526.51,1,5902,S18_1129,82895,85708
10278,100,4667.86,1,5903,S18_1129,82909,85717
10287,100,6499.32,1,5903,S18_1129,82894,85707
10301,100,5917.78,1,5904,S18_1129,82910,85718
10310,100,6231.91,1,5904,S18_1129,82893,85706
10321,100,5803.14,1,5905,S18_1129,82846,85669
10331,100,6434.02,1,5905,S18_1129,82870,OTHERS
10342,100,6454.4,1,5905,S18_1129,82835,85659
10356,97.6,4196.8,1,5906,S18_1129,82827,85652
10365,87.06,2611.8,1,5907,S18_1129,82875,OTHERS
10377,100,5895.05,1,5900,S18_1129,82841,85664
10390,93.77,3375.72,1,5911,S18_1129,82864,OTHERS
10406,100,8374.69,2,5908,S18_1129,82873,85690
10419,100,4464.24,1,5901,S18_1129,82844,85667
10102,100,4808.31,1,5907,S18_1342,82836,OTHERS
10111,99.66,3288.78,1,5911,S18_1342,82833,OTHERS
10125,100,3254.72,1,5901,S18_1342,82835,85659
10139,100,3184.94,1,5902,S18_1342,82845,85668
10149,100,5907.5,1,5910,S18_1342,82907,OTHERS
10162,91.44,4389.12,1,5904,S18_1342,82829,85654
10173,100,5036.16,1,5905,S18_1342,82911,85719
10182,87.33,2183.25,1,5905,S18_1342,82864,OTHERS
10193,100,3106.88,1,5905,S18_1342,82912,85720
10205,100,3735.72,1,5906,S18_1342,82848,85671
10215,89.38,2413.26,1,5907,S18_1342,82857,OTHERS
10227,100,2953.75,1,5911,S18_1342,82855,85677
10244,100,4684.8,1,5908,S18_1342,82848,85671
10256,95.55,3248.7,1,5909,S18_1342,82873,85690
10280,100,5239.5,1,5903,S18_1342,82861,85681
10289,100,4567.98,1,5910,S18_1342,82832,85657
10304,95.55,3535.35,1,5904,S18_1342,82863,85683
10312,89.38,3843.34,1,5904,S18_1342,82864,OTHERS
10322,86.3,3710.9,1,5905,S18_1342,82865,85684
10332,95.13,4375.98,1,5905,S18_1342,82902,85712
10346,36.11,1516.62,1,5905,S18_1342,82909,85717
10356,50.18,2509,1,5906,S18_1342,82827,85652
10369,100,9240.44,1,5907,S18_1342,82866,85685
